"","kids","kids_with_plans","prp_kids_with_plans","fiscal_yr","planning_rate","lower","upper"
"1",429,298,0.694638694638,2012,0.694638694638695,0.649488854987466,0.73633370566789
"2",467,396,0.847965738758,2013,0.84796573875803,0.812571000626662,0.877682573929029
"3",450,440,0.977777777777,2014,0.977777777777778,0.959582017835257,0.987885410806793
